ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:XLK161216C00046000,2016-11-16,2016-12-16,XLK,C,46.0,124.0,1.2,1.54,-7.07,YES,1.54,3.35,1.2,2.61,1.57,1.2,23.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00047000,2016-11-16,2016-12-16,XLK,C,47.0,720.0,0.63,0.86,-5.05,YES,0.86,1.83,0.63,1.34,0.87,0.63,84.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00048000,2016-11-16,2016-12-16,XLK,C,48.0,178.0,0.26,0.37,-3.03,YES,0.37,0.77,0.26,0.54,0.37,0.26,41.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,0.0607
O:XLK161216C00049000,2016-11-16,2016-12-16,XLK,C,49.0,30.0,0.12,0.12,-1.01,YES,0.12,0.24,0.12,0.24,0.12,0.12,4.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00050000,2016-11-16,2016-12-16,XLK,C,50.0,17.0,0.02,0.02,1.01,NO,0.02,0.04,0.02,0.04,0.02,0.02,2.0,1479272400000000000,30.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00043000,2016-11-17,2016-12-16,XLK,C,43.0,1.0,4.34,4.34,-13.13,YES,4.34,10.09,4.34,10.09,4.34,4.34,1.0,1479358800000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00044000,2016-11-17,2016-12-16,XLK,C,44.0,110.0,3.5,3.5,-11.11,YES,3.5,7.95,3.5,7.95,3.5,3.5,30.0,1479358800000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00045000,2016-11-17,2016-12-16,XLK,C,45.0,58.0,2.55,2.59,-9.09,YES,2.59,5.76,2.55,5.67,2.61,2.55,9.0,1479358800000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00046000,2016-11-17,2016-12-16,XLK,C,46.0,28.0,1.67,1.73,-7.07,YES,1.73,3.76,1.67,3.63,1.73,1.67,6.0,1479358800000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
O:XLK161216C00047000,2016-11-17,2016-12-16,XLK,C,47.0,30.0,0.84,1.0,-5.05,YES,1.0,2.13,0.84,1.79,1.02,0.84,16.0,1479358800000000000,29.0,Monthly,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0041,
