ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:XLE230127C00089000,2023-01-23,2023-01-27,XLE,C,44.5,102.0,2.7,2.06,-1.77,YES,2.5,5.46,2.06,4.5,2.94,2.06,66.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.8625,0.5626,2.5,6.42
O:XLE230127C00089500,2023-01-23,2023-01-27,XLE,C,44.75,25.0,2.06,1.7,-1.21,YES,2.1,4.59,1.7,3.71,2.5,1.7,12.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.7427,0.5495,2.1,5.46
O:XLE230127C00090000,2023-01-23,2023-01-27,XLE,C,45.0,218.0,1.83,1.44,-0.66,YES,1.73,3.78,1.36,2.97,2.1,1.36,59.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.6754,0.526,1.73,4.59
O:XLE230127C00090500,2023-01-23,2023-01-27,XLE,C,45.25,133.0,1.51,1.16,-0.11,YES,1.46,3.19,1.12,2.45,1.8,1.12,42.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.5946,0.4977,1.46,3.93
O:XLE230127C00091000,2023-01-23,2023-01-27,XLE,C,45.5,688.0,1.19,0.92,0.44,YES,1.145,2.5,0.85,1.86,1.44,0.85,185.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.5311,0.4608,1.145,3.14
O:XLE230127C00091500,2023-01-23,2023-01-27,XLE,C,45.75,455.0,0.99,0.74,0.99,NO,0.905,1.98,0.63,1.38,1.18,0.63,132.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.4939,0.4177,0.905,2.58
O:XLE230127C00092000,2023-01-23,2023-01-27,XLE,C,46.0,340.0,0.65,0.53,1.55,NO,0.6950000000000001,1.52,0.49,1.07,0.9,0.49,114.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.4329,0.363,0.6950000000000001,1.97
O:XLE230127C00092500,2023-01-23,2023-01-27,XLE,C,46.25,454.0,0.54,0.36,2.1,NO,0.505,1.1,0.36,0.79,0.65,0.36,107.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3832,0.2996,0.505,1.42
O:XLE230127C00093000,2023-01-23,2023-01-27,XLE,C,46.5,431.0,0.41,0.28,2.65,NO,0.39,0.85,0.24,0.52,0.54,0.24,115.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3763,0.251,0.39,1.18
O:XLE230127C00093500,2023-01-23,2023-01-27,XLE,C,46.75,186.0,0.32,0.19,3.2,NO,0.27,0.59,0.17,0.37,0.37,0.17,40.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3527,0.1952,0.27,0.81
O:XLE230127C00094000,2023-01-23,2023-01-27,XLE,C,47.0,314.0,0.2,0.13,3.75,NO,0.19,0.41,0.11,0.24,0.27,0.11,102.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3389,0.1485,0.19,0.59
O:XLE230127C00094500,2023-01-23,2023-01-27,XLE,C,47.25,37.0,0.12,0.12,4.3,NO,0.13,0.28,0.09,0.2,0.17,0.09,13.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3617,0.1315,0.13,0.37
O:XLE230127C00095000,2023-01-23,2023-01-27,XLE,C,47.5,73.0,0.1,0.1,4.86,NO,0.09,0.2,0.06,0.13,0.12,0.06,26.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3718,0.1102,0.09,0.26
O:XLE230127C00095500,2023-01-23,2023-01-27,XLE,C,47.75,525.0,0.08,0.03,5.41,NO,0.055,0.12,0.03,0.07,0.08,0.03,7.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3015,0.0475,0.055,0.17
O:XLE230127C00096000,2023-01-23,2023-01-27,XLE,C,48.0,21.0,0.04,0.03,5.96,NO,0.035,0.08,0.03,0.07,0.04,0.03,8.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3252,0.0442,0.035,0.09
O:XLE230127C00097000,2023-01-23,2023-01-27,XLE,C,48.5,54.0,0.03,0.03,7.06,NO,0.025,0.05,0.02,0.04,0.03,0.02,6.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3715,0.039,0.025,0.07
O:XLE230127C00098000,2023-01-23,2023-01-27,XLE,C,49.0,7.0,0.01,0.01,8.17,NO,0.01,0.02,0.01,0.02,0.01,0.01,2.0,1674450000000000000,4.0,Weekly,45.57,45.3,45.8,45.16,45.795,45.615,46.535,46.535,0.0433,0.3486,0.0155,0.01,0.02
