ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:GOOG200221C01465000,2020-01-24,2020-02-21,GOOG,C,73.25,3.0,2.39,2.39,-0.12,YES,2.39,3.26,2.39,3.26,2.39,2.39,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2843,0.4965
O:GOOG200221C01467500,2020-01-24,2020-02-21,GOOG,C,73.38,2.0,2.3,2.34,0.05,NO,2.34,3.2,2.3,3.13,2.34,2.3,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.286,0.4874
O:GOOG200221C01470000,2020-01-24,2020-02-21,GOOG,C,73.5,111.0,2.72,2.28,0.22,NO,2.28,3.1,2.72,2.93,2.75,2.15,33.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2857,0.4792
O:GOOG200221C01472500,2020-01-24,2020-02-21,GOOG,C,73.62,206.0,2.36,2.2,0.39,NO,2.2,2.99,2.36,2.95,2.36,2.17,33.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2829,0.471
O:GOOG200221C01475000,2020-01-24,2020-02-21,GOOG,C,73.75,15.0,2.72,2.1,0.57,NO,2.1,2.85,2.72,2.85,2.73,2.1,3.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.278,0.462
O:GOOG200221C01477500,2020-01-24,2020-02-21,GOOG,C,73.88,45.0,2.08,2.09,0.74,NO,2.09,2.84,2.08,2.8,2.14,2.07,41.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2841,0.4532
O:GOOG200221C01480000,2020-01-24,2020-02-21,GOOG,C,74.0,49.0,2.66,2.05,0.91,NO,2.05,2.77,2.66,2.64,2.66,1.96,23.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2858,0.4452
O:GOOG200221C01482500,2020-01-24,2020-02-21,GOOG,C,74.12,2.0,2.09,1.9,1.08,NO,1.9,2.56,2.09,2.56,2.09,1.9,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2738,0.4358
O:GOOG200221C01485000,2020-01-24,2020-02-21,GOOG,C,74.25,57.0,2.33,1.9,1.25,NO,1.9,2.56,2.33,2.53,2.38,1.88,24.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2808,0.4277
O:GOOG200221C01487500,2020-01-24,2020-02-21,GOOG,C,74.38,3.0,2.41,2.26,1.42,NO,2.26,3.05,2.41,3.05,2.41,2.26,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.3323,0.4262
O:GOOG200221C01490000,2020-01-24,2020-02-21,GOOG,C,74.5,27.0,2.37,1.7,1.59,NO,1.7,2.28,2.37,2.28,2.46,1.7,19.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2689,0.4083
O:GOOG200221C01492500,2020-01-24,2020-02-21,GOOG,C,74.62,2.0,2.23,1.85,1.76,NO,1.85,2.48,2.23,2.48,2.23,1.85,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2937,0.4056
O:GOOG200221C01495000,2020-01-24,2020-02-21,GOOG,C,74.75,9.0,1.84,1.66,1.93,NO,1.66,2.22,1.84,2.14,1.84,1.6,4.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2764,0.393
O:GOOG200221C01497500,2020-01-24,2020-02-21,GOOG,C,74.88,1.0,1.66,1.66,2.1,NO,1.66,2.22,1.66,2.22,1.66,1.66,1.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2828,0.3862
O:GOOG200221C01500000,2020-01-24,2020-02-21,GOOG,C,75.0,67.0,2.14,1.5,2.27,NO,1.5,1.99,2.14,1.97,2.14,1.48,41.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2683,0.3736
O:GOOG200221C01505000,2020-01-24,2020-02-21,GOOG,C,75.25,3.0,1.49,1.46,2.61,NO,1.46,1.95,1.49,1.87,1.49,1.41,3.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2748,0.3593
O:GOOG200221C01510000,2020-01-24,2020-02-21,GOOG,C,75.5,45.0,1.88,1.37,2.95,NO,1.37,1.82,1.88,1.79,1.88,1.35,11.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2746,0.3431
O:GOOG200221C01520000,2020-01-24,2020-02-21,GOOG,C,76.0,48.0,1.66,1.12,3.63,NO,1.12,1.47,1.66,1.47,1.66,1.12,24.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2629,0.3053
O:GOOG200221C01530000,2020-01-24,2020-02-21,GOOG,C,76.5,167.0,1.48,1.04,4.32,NO,1.04,1.37,1.48,1.27,1.48,0.97,40.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.272,0.2803
O:GOOG200221C01540000,2020-01-24,2020-02-21,GOOG,C,77.0,3.0,1.28,1.1,5.0,NO,1.1,1.43,1.28,1.43,1.28,1.1,3.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2998,0.2697
O:GOOG200221C01550000,2020-01-24,2020-02-21,GOOG,C,77.5,61.0,1.06,0.72,5.68,NO,0.72,0.93,1.06,0.92,1.06,0.71,23.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2613,0.2171
O:GOOG200221C01560000,2020-01-24,2020-02-21,GOOG,C,78.0,22.0,0.9,0.61,6.36,NO,0.61,0.79,0.9,0.78,0.9,0.61,14.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.2599,0.1907
O:GOOG200221C01570000,2020-01-24,2020-02-21,GOOG,C,78.5,2.0,0.57,0.51,7.04,NO,0.51,0.65,0.57,0.65,0.57,0.51,2.0,1579842000000000000,28.0,Monthly,74.68,73.34,74.77,73.26,73.34,73.34,74.77,73.34,0.0155,0.258,0.1659
