ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,fedfunds_rate
O:LQD170421C00117000,2017-03-21,2017-04-21,LQD,C,1170.0,9.0,0.61,0.7,0.7,0.61,3.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421C00118000,2017-03-21,2017-04-21,LQD,C,1180.0,66.0,0.2,0.35,0.35,0.2,10.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421C00120000,2017-03-21,2017-04-21,LQD,C,1200.0,1.0,0.05,0.05,0.05,0.05,1.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421P00112000,2017-03-21,2017-04-21,LQD,P,1120.0,2.0,0.05,0.05,0.05,0.05,1.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421P00114000,2017-03-21,2017-04-21,LQD,P,1140.0,1.0,0.05,0.05,0.05,0.05,1.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421P00115000,2017-03-21,2017-04-21,LQD,P,1150.0,23.0,0.15,0.15,0.15,0.15,4.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421P00116000,2017-03-21,2017-04-21,LQD,P,1160.0,25.0,0.3,0.3,0.3,0.25,4.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421P00117000,2017-03-21,2017-04-21,LQD,P,1170.0,11.0,0.7,0.65,0.7,0.65,4.0,1490068800000000000,31.0,Monthly,0.0079
O:LQD170421C00115000,2017-03-22,2017-04-21,LQD,C,1150.0,1.0,2.75,2.75,2.75,2.75,1.0,1490155200000000000,30.0,Monthly,0.0079
O:LQD170421C00116000,2017-03-22,2017-04-21,LQD,C,1160.0,3.0,1.95,1.79,1.95,1.79,2.0,1490155200000000000,30.0,Monthly,0.0079
O:LQD170421C00118000,2017-03-22,2017-04-21,LQD,C,1180.0,157.0,0.45,0.39,0.45,0.39,15.0,1490155200000000000,30.0,Monthly,0.0079
O:LQD170421C00119000,2017-03-22,2017-04-21,LQD,C,1190.0,3.0,0.2,0.2,0.2,0.2,1.0,1490155200000000000,30.0,Monthly,0.0079
O:LQD170421P00114000,2017-03-22,2017-04-21,LQD,P,1140.0,250.0,0.05,0.05,0.05,0.05,23.0,1490155200000000000,30.0,Monthly,0.0079
O:LQD170421P00115000,2017-03-22,2017-04-21,LQD,P,1150.0,250.0,0.13,0.13,0.13,0.13,23.0,1490155200000000000,30.0,Monthly,0.0079
O:LQD170421P00118000,2017-03-22,2017-04-21,LQD,P,1180.0,1.0,0.95,0.95,0.95,0.95,1.0,1490155200000000000,30.0,Monthly,0.0079
O:LQD170421C00117000,2017-03-23,2017-04-21,LQD,C,1170.0,1.0,0.95,0.95,0.95,0.95,1.0,1490241600000000000,29.0,Monthly,0.0079
O:LQD170421C00118000,2017-03-23,2017-04-21,LQD,C,1180.0,4.0,0.39,0.39,0.39,0.39,3.0,1490241600000000000,29.0,Monthly,0.0079
O:LQD170421C00119000,2017-03-23,2017-04-21,LQD,C,1190.0,7.0,0.1,0.1,0.1,0.1,1.0,1490241600000000000,29.0,Monthly,0.0079
O:LQD170421P00114000,2017-03-23,2017-04-21,LQD,P,1140.0,22.0,0.04,0.04,0.04,0.04,2.0,1490241600000000000,29.0,Monthly,0.0079
O:LQD170421P00115000,2017-03-23,2017-04-21,LQD,P,1150.0,22.0,0.11,0.11,0.11,0.11,2.0,1490241600000000000,29.0,Monthly,0.0079
O:LQD170421P00116000,2017-03-23,2017-04-21,LQD,P,1160.0,3.0,0.25,0.25,0.25,0.25,1.0,1490241600000000000,29.0,Monthly,0.0079
O:LQD170421C00117000,2017-03-24,2017-04-21,LQD,C,1170.0,3.0,1.07,1.07,1.07,1.07,1.0,1490328000000000000,28.0,Monthly,0.0079
O:LQD170421C00118000,2017-03-24,2017-04-21,LQD,C,1180.0,38.0,0.4,0.43,0.43,0.4,3.0,1490328000000000000,28.0,Monthly,0.0079
O:LQD170421P00114000,2017-03-24,2017-04-21,LQD,P,1140.0,66.0,0.05,0.04,0.05,0.04,6.0,1490328000000000000,28.0,Monthly,0.0079
O:LQD170421P00115000,2017-03-24,2017-04-21,LQD,P,1150.0,66.0,0.11,0.1,0.11,0.1,6.0,1490328000000000000,28.0,Monthly,0.0079
O:LQD170421P00116000,2017-03-24,2017-04-21,LQD,P,1160.0,3.0,0.2,0.2,0.2,0.2,1.0,1490328000000000000,28.0,Monthly,0.0079
O:LQD170519C00118000,2017-04-17,2017-05-19,LQD,C,1180.0,4.0,1.55,1.37,1.55,1.37,2.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519C00119000,2017-04-17,2017-05-19,LQD,C,1190.0,1.0,1.0,1.0,1.0,1.0,1.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519C00120000,2017-04-17,2017-05-19,LQD,C,1200.0,2.0,0.4,0.4,0.4,0.4,1.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519C00122000,2017-04-17,2017-05-19,LQD,C,1220.0,10.0,0.05,0.05,0.05,0.05,1.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519P00115000,2017-04-17,2017-05-19,LQD,P,1150.0,21.0,0.1,0.1,0.1,0.1,1.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519P00117000,2017-04-17,2017-05-19,LQD,P,1170.0,3.0,0.3,0.3,0.3,0.3,1.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519P00118000,2017-04-17,2017-05-19,LQD,P,1180.0,1.0,0.5,0.5,0.5,0.5,1.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519P00119000,2017-04-17,2017-05-19,LQD,P,1190.0,6.0,0.95,0.95,0.95,0.95,1.0,1492401600000000000,32.0,Monthly,0.009
O:LQD170519C00117000,2017-04-18,2017-05-19,LQD,C,1170.0,2.0,2.67,2.67,2.67,2.67,1.0,1492488000000000000,31.0,Monthly,0.009
O:LQD170519C00119000,2017-04-18,2017-05-19,LQD,C,1190.0,3.0,0.9,0.9,0.9,0.9,1.0,1492488000000000000,31.0,Monthly,0.009
O:LQD170519C00120000,2017-04-18,2017-05-19,LQD,C,1200.0,13.0,0.45,0.63,0.63,0.45,6.0,1492488000000000000,31.0,Monthly,0.009
O:LQD170519C00119000,2017-04-19,2017-05-19,LQD,C,1190.0,10.0,0.91,0.91,0.91,0.91,1.0,1492574400000000000,30.0,Monthly,0.009
O:LQD170519P00116000,2017-04-19,2017-05-19,LQD,P,1160.0,1.0,0.15,0.15,0.15,0.15,1.0,1492574400000000000,30.0,Monthly,0.009
O:LQD170519P00117000,2017-04-19,2017-05-19,LQD,P,1170.0,2.0,0.25,0.25,0.25,0.25,1.0,1492574400000000000,30.0,Monthly,0.009
O:LQD170519P00119000,2017-04-19,2017-05-19,LQD,P,1190.0,5.0,0.85,0.85,0.85,0.85,3.0,1492574400000000000,30.0,Monthly,0.009
O:LQD170519C00118000,2017-04-20,2017-05-19,LQD,C,1180.0,1.0,1.47,1.47,1.47,1.47,1.0,1492660800000000000,29.0,Monthly,0.009
O:LQD170519C00119000,2017-04-20,2017-05-19,LQD,C,1190.0,14.0,0.75,0.75,0.75,0.75,1.0,1492660800000000000,29.0,Monthly,0.009
O:LQD170519C00120000,2017-04-20,2017-05-19,LQD,C,1200.0,24.0,0.35,0.36,0.36,0.35,5.0,1492660800000000000,29.0,Monthly,0.009
O:LQD170519C00121000,2017-04-20,2017-05-19,LQD,C,1210.0,20.0,0.18,0.18,0.18,0.18,1.0,1492660800000000000,29.0,Monthly,0.009
O:LQD170519P00116000,2017-04-20,2017-05-19,LQD,P,1160.0,2.0,0.2,0.2,0.2,0.2,1.0,1492660800000000000,29.0,Monthly,0.009
O:LQD170519P00118000,2017-04-20,2017-05-19,LQD,P,1180.0,5.0,0.55,0.55,0.55,0.55,1.0,1492660800000000000,29.0,Monthly,0.009
O:LQD170519C00118000,2017-04-21,2017-05-19,LQD,C,1180.0,1.0,1.59,1.59,1.59,1.59,1.0,1492747200000000000,28.0,Monthly,0.009
O:LQD170519C00119000,2017-04-21,2017-05-19,LQD,C,1190.0,8768.0,0.9,0.85,0.95,0.85,4.0,1492747200000000000,28.0,Monthly,0.009
O:LQD170519C00120000,2017-04-21,2017-05-19,LQD,C,1200.0,1.0,0.47,0.47,0.47,0.47,1.0,1492747200000000000,28.0,Monthly,0.009
O:LQD170519C00121000,2017-04-21,2017-05-19,LQD,C,1210.0,2.0,0.26,0.26,0.26,0.26,1.0,1492747200000000000,28.0,Monthly,0.009
