ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:IWM180112C00162500,2018-01-08,2018-01-12,IWM,C,162.5,45,0.0,0.0,4.66,NO,0.0,0.0,0.0,0.0,0.0,0.0,3,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.0,0.0,,
O:IWM180112C00165000,2018-01-08,2018-01-12,IWM,C,165.0,15,0.0,0.0,6.27,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1515387600000000000,4,Weekly,154.73,155.03,155.27,153.5,155.27,158.16,158.86,158.86,0.02,0.0,0.0,,
O:IWM180119C00070000,2018-01-16,2018-01-19,IWM,C,70.0,2,21.66,21.66,-56.09,YES,21.66,13.58,21.66,13.58,21.66,21.66,1,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,21.66,13.58,,
O:IWM180119C00120000,2018-01-16,2018-01-19,IWM,C,120.0,10,9.11,9.11,-24.72,YES,9.11,5.72,9.11,5.72,9.11,9.11,2,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,9.11,5.72,,
O:IWM180119C00136000,2018-01-16,2018-01-19,IWM,C,136.0,3,5.17,5.17,-14.69,YES,5.17,3.24,5.17,3.24,5.17,5.17,1,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,5.17,3.24,,
O:IWM180119C00138000,2018-01-16,2018-01-19,IWM,C,138.0,1,4.58,4.58,-13.43,YES,4.58,2.87,4.58,2.87,4.58,4.58,1,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,4.58,2.87,,
O:IWM180119C00139000,2018-01-16,2018-01-19,IWM,C,139.0,8,5.0,5.0,-12.8,YES,5.0,3.14,5.0,3.14,5.0,5.0,2,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,5.0,3.14,,
O:IWM180119C00140000,2018-01-16,2018-01-19,IWM,C,140.0,211,4.75,4.42,-12.18,YES,4.6,2.88,4.42,2.77,4.78,4.42,5,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,4.6,3.0,,
O:IWM180119C00142000,2018-01-16,2018-01-19,IWM,C,142.0,10,3.66,3.66,-10.92,YES,3.66,2.3,3.66,2.3,3.66,3.66,1,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,3.66,2.3,,
O:IWM180119C00144000,2018-01-16,2018-01-19,IWM,C,144.0,24,3.73,3.17,-9.67,YES,3.48,2.18,3.17,1.99,3.78,3.17,6,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,3.48,2.37,,
