ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:ADBE160715C00115000,2016-07-11,2016-07-15,ADBE,C,7.67,1,0.0,0.0,0.0,0.0,1,1468209600000000000,4,96.98,97.14,97.55,96.81,97.55,97.83,98.4,98.4
O:ADBE160819C00085000,2016-08-15,2016-08-19,ADBE,C,5.67,1,4.07,4.07,4.07,4.07,1,1471233600000000000,4,101.38,100.93,101.63,100.88,101.63,100.32,100.6,100.6
O:ADBE160819C00092500,2016-08-15,2016-08-19,ADBE,C,6.17,7,2.17,2.27,2.27,2.17,2,1471233600000000000,4,101.38,100.93,101.63,100.88,101.63,100.32,100.6,100.6
O:ADBE160819C00095000,2016-08-15,2016-08-19,ADBE,C,6.33,49,1.58,1.49,1.59,1.49,13,1471233600000000000,4,101.38,100.93,101.63,100.88,101.63,100.32,100.6,100.6
O:ADBE160819C00097500,2016-08-15,2016-08-19,ADBE,C,6.5,23,0.98,0.88,0.98,0.88,6,1471233600000000000,4,101.38,100.93,101.63,100.88,101.63,100.32,100.6,100.6
O:ADBE160819C00100000,2016-08-15,2016-08-19,ADBE,C,6.67,349,0.99,0.33,0.99,0.33,47,1471233600000000000,4,101.38,100.93,101.63,100.88,101.63,100.32,100.6,100.6
O:ADBE160819C00105000,2016-08-15,2016-08-19,ADBE,C,7.0,13,0.0,0.01,0.01,0.0,2,1471233600000000000,4,101.38,100.93,101.63,100.88,101.63,100.32,100.6,100.6
O:ADBE160916C00095000,2016-09-12,2016-09-16,ADBE,C,6.33,2,1.15,1.36,1.36,1.15,2,1473652800000000000,4,99.18,100.32,100.5,99.0,100.5,98.93,99.67,99.67
O:ADBE160916C00097500,2016-09-12,2016-09-16,ADBE,C,6.5,8,0.65,0.65,0.65,0.65,1,1473652800000000000,4,99.18,100.32,100.5,99.0,100.5,98.93,99.67,99.67
O:ADBE160916C00100000,2016-09-12,2016-09-16,ADBE,C,6.67,916,0.22,0.28,0.3,0.16,61,1473652800000000000,4,99.18,100.32,100.5,99.0,100.5,98.93,99.67,99.67
