ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:HOOD210813C00072500,2021-08-09,2021-08-13,HOOD,C,72.5,51.0,1.63,0.75,20.91,NO,1.38,2.29,0.75,1.25,2.0,0.75,24.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.96,0.1,1.38,3.34
O:HOOD210813C00073000,2021-08-09,2021-08-13,HOOD,C,73.0,75.0,1.5,0.65,21.75,NO,1.32,2.21,0.65,1.08,2.0,0.65,34.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.91,0.09,1.32,3.34
O:HOOD210813C00073500,2021-08-09,2021-08-13,HOOD,C,73.5,41.0,1.6,0.6,22.58,NO,1.12,1.88,0.6,1.0,1.65,0.6,15.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.91,0.08,1.12,2.75
O:HOOD210813C00074000,2021-08-09,2021-08-13,HOOD,C,74.0,58.0,1.85,0.67,23.42,NO,1.23,2.04,0.6,1.0,1.85,0.6,26.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.0,0.09,1.23,3.09
O:HOOD210813C00074500,2021-08-09,2021-08-13,HOOD,C,74.5,42.0,1.35,0.6,24.25,NO,1.16,1.93,0.6,1.0,1.71,0.6,17.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.98,0.08,1.16,2.85
O:HOOD210813C00075000,2021-08-09,2021-08-13,HOOD,C,75.0,806.0,1.35,0.63,25.08,NO,1.12,1.88,0.55,0.92,1.7,0.55,226.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.04,0.08,1.12,2.84
O:HOOD210813C00075500,2021-08-09,2021-08-13,HOOD,C,75.5,82.0,1.5,0.7,25.92,NO,1.13,1.88,0.57,0.95,1.69,0.57,42.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.13,0.08,1.13,2.82
O:HOOD210813C00076000,2021-08-09,2021-08-13,HOOD,C,76.0,1828.0,1.55,0.55,26.75,NO,1.12,1.88,0.5,0.83,1.75,0.5,292.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.03,0.07,1.12,2.92
O:HOOD210813C00080000,2021-08-09,2021-08-13,HOOD,C,80.0,913.0,1.4,0.45,33.42,NO,0.88,1.47,0.36,0.6,1.4,0.36,281.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.18,0.05,0.88,2.33
O:HOOD210813C00085000,2021-08-09,2021-08-13,HOOD,C,85.0,412.0,0.95,0.35,41.76,NO,0.74,1.23,0.27,0.45,1.2,0.27,125.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.33,0.04,0.74,2.0
